stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,Instructions.started,instructions.started,Instructions.stopped,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thank_You_.started,thank_you.started,thank_you.stopped,Thank_You_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
27,1,1,35.15368474996649,,,,,35.14714837493375,35.15368474996649,35.644718041992746,35.644718041992746,35.649416625034064,35.932032666984014,36.38005566701759,right,1,1,1,0.7220889569725841,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
28,1,1,36.38739412499126,,,,,36.38048187503591,36.38739412499126,36.87794658297207,36.87794658297207,36.88197350001428,37.165300042019226,37.480304250027984,right,1,1,1,0.5909171239472926,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
29,1,1,37.48797999997623,,,,,37.48072120803408,37.48797999997623,37.977926500025205,37.977926500025205,37.98193570796866,38.26545979,38.56365121,right,1,1,1,0.5750505409669131,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
30,1,1,38.57111854,,,,,38.564108832972124,38.57111854,39.06143683299888,39.06143683299888,39.06547104,39.348553,39.59673758293502,right,1,1,1,0.529378499,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
31,1,1,39.60360779194161,,,,,39.597111999988556,39.60360779194161,40.09487604198512,40.09487604198512,40.09899329196196,40.38199245801661,40.597605791990645,right,1,1,1,0.48904841602779925,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
32,1,1,40.60665516695008,,,,,40.59813658,40.60665516695008,41.094902832992375,41.094902832992375,41.09899587498512,41.38257583300583,41.980081207933836,left,-1,1,1,0.8709920409601182,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
33,1,1,41.987476042006165,,,,,41.98051858297549,41.987476042006165,42.47840699995868,42.47840699995868,42.48344595800154,42.76559491700027,43.01419608294964,left,-1,1,1,0.5298157080542296,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
34,1,1,43.022125124931335,,,,,43.01468795794062,43.022125124931335,43.511906833038665,43.511906833038665,43.516368167009205,43.79873362497892,44.03405779,left,-1,1,1,0.5200272910296917,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
35,1,1,44.04468445794191,,,,,44.03448304196354,44.04468445794191,44.53420529,44.53420529,44.53420529,44.83235591696575,45.463618458015844,left,-1,1,1,0.9156578329857439,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
36,1,1,45.47111883293837,,,,,45.46405624994077,45.47111883293837,45.96170812495984,45.96170812495984,45.966699167038314,46.24915345793124,46.84663812501822,right,1,1,1,0.8785065410193056,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
37,1,1,46.85338424996007,,,,,46.84698087500874,46.85338424996007,47.34515341697261,47.34515341697261,47.349534458015114,47.63248304196168,47.98017566697672,left,-1,1,1,0.6238677910296246,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
38,1,1,47.98717037495226,,,,,47.98057858,47.98717037495226,48.478463332983665,48.478463332983665,48.48335929203313,48.76588358299341,49.06353899999522,left,-1,1,1,0.5755044569959864,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
39,1,1,49.07093095802702,,,,,49.06396770803258,49.07093095802702,49.56171908299439,49.56171908299439,49.56581879,49.84906208293978,50.21729070798028,left,-1,1,1,0.6503539580153301,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
40,1,1,50.22821900004055,,,,,50.217648791964166,50.22821900004055,50.71740337496158,50.71740337496158,50.71740337496158,51.01190104195848,51.65224570792634,left,-1,1,1,0.9286769570317119,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
41,1,1,51.661235583014786,,,,,51.65268612501677,51.661235583014786,52.15025329194032,52.15025329194032,52.15025329194032,52.449018624960445,53.04777563,left,-1,1,1,0.8910227079177275,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
