pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,fixation_2.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation_2.stopped,probe_2.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,38,38,12,,,,,x,1,0.7443496259802487,None,,,,,12,38,38,3,328.9584151250019,,,,,,,,,,,,,,,,328.9498625830165,328.9584151250019,329.9407152910135,329.9407152910135,329.9407152910135,329.9407152910135,329.95595350000076,330.94057758300914,330.94057758300914,331.6899997500004,x,1,0.7443496259802487,None,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
50,c,39,39,8,,,,,c,1,1.3502044170163572,None,,,,,8,39,39,0,331.69946004101075,,,,,,,,,,,,,,,,331.69051741602016,331.69946004101075,332.68219579101424,332.68219579101424,332.68219579101424,332.68219579101424,332.69936791600776,333.6817328330071,333.6817328330071,335.0405948749976,c,1,1.3502044170163572,None,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
-50,x,40,40,13,,,,,x,1,0.7413712080160622,None,,,,,13,40,40,3,335.05043383300654,,,,,,,,,,,,,,,,335.0411141249933,335.05043383300654,336.033872333006,336.033872333006,336.033872333006,336.033872333006,336.0410751250165,337.0396068750124,337.0396068750124,337.7829868750123,x,1,0.7413712080160622,None,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
50,c,41,41,9,,,,,c,1,0.47612295899307355,None,,,,,9,41,41,0,337.7920374160167,,,,,,,,,,,,,,,,337.7835025830136,337.7920374160167,338.77446499999496,338.77446499999496,338.77446499999496,338.77446499999496,338.78231283300556,339.78192750000744,339.78192750000744,340.2671103750181,c,1,0.47612295899307355,None,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
-150,z,42,42,9,,,,,z,1,0.4106217919907067,None,,,,,9,42,42,1,340.27739850000944,,,,,,,,,,,,,,,,340.26773787499405,340.27739850000944,341.26538108300883,341.26538108300883,341.26538108300883,341.26538108300883,341.27377604099456,342.26539829099784,342.26539829099784,342.6835107500083,z,1,0.4106217919907067,None,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
-50,x,43,43,14,,,,,x,1,0.4140607079898473,None,,,,,14,43,43,3,342.6931337080023,,,,,,,,,,,,,,,,342.684122125007,342.6931337080023,343.6820583330118,343.6820583330118,343.6820583330118,343.6820583330118,343.6899486659968,344.6820783330186,344.6820783330186,345.1001700000197,x,1,0.4140607079898473,None,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
-150,z,44,44,10,,,,,z,1,0.5082775830233004,None,,,,,10,44,44,1,345.10942808300024,,,,,,,,,,,,,,,,345.10069416600163,345.10942808300024,346.09882354101865,346.09882354101865,346.09882354101865,346.09882354101865,346.1065459579986,347.09888841601787,347.09888841601787,347.61687200001325,z,1,0.5082775830233004,None,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
50,c,45,45,10,,,,,c,1,0.6886760830238927,None,,,,,10,45,45,0,347.62593820801703,,,,,,,,,,,,,,,,347.61742929101456,347.62593820801703,348.615581207996,348.615581207996,348.615581207996,348.615581207996,348.6230720830208,349.61556320800446,349.61556320800446,350.3076403750165,c,1,0.6886760830238927,None,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
-50,x,46,46,15,,,,,x,1,0.663225041993428,None,,,,,15,46,46,3,350.31797695800196,,,,,,,,,,,,,,,,350.3082713750191,350.31797695800196,351.307721374993,351.307721374993,351.307721374993,351.307721374993,351.3157228330092,352.3069190410024,352.3069190410024,352.97396133301663,x,1,0.663225041993428,None,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
150,v,47,47,9,,,,,v,1,0.5703660419967491,None,,,,,9,47,47,2,352.98389245799626,,,,,,,,,,,,,,,,352.9744981660042,352.98389245799626,353.9657245000126,353.9657245000126,353.9657245000126,353.9657245000126,353.9824354580196,354.9658174159995,354.9658174159995,355.54069995801547,v,1,0.5703660419967491,None,02,001,2025-10-01_15h39.03.082,MotorSequence,,2025.1.1,119.19454334520667,2025-10-01 15h39.10.661631 +0530,
