reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
48,70,14,13,13,0,t,10.687433250015602,None,0,13,13,39,106.7722137090168,,106.76471316703828,106.7722137090168,107.75770054204622,107.75770054204622,107.76671412499854,118.45268258400029,t,10.687433250015602,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
33,46,210,14,14,0,t,2.9827320000040345,None,0,14,14,81,118.46893841703422,,118.46056166704511,118.46893841703422,119.450425292016,119.450425292016,119.46744479204062,122.43564387504011,t,2.9827320000040345,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
57,91,5,15,15,0,l,6.9338613339932635,None,0,15,15,26,122.45032145903679,,122.44236979202833,122.45032145903679,123.43366541701835,123.43366541701835,123.43967566703213,130.36923354200553,l,6.9338613339932635,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
5,34,180,16,16,0,t,9.25481666700216,None,0,16,16,77,130.38377225003205,,130.37610049999785,130.38377225003205,131.36751070903847,131.36751070903847,131.37358000001404,140.6254657090176,t,9.25481666700216,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
13,66,7,17,17,0,l,7.107750000956003,None,0,17,17,31,140.63840841699857,,140.63158979202854,140.63840841699857,141.6351583340438,141.6351583340438,141.65197450004052,148.75394775002496,l,7.107750000956003,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
88,124,180,18,18,0,t,9.134099000017159,None,0,18,18,80,148.76865837501828,,148.76055508403806,148.76865837501828,149.76881954201963,149.76881954201963,149.76881954201963,158.9094882500358,t,9.134099000017159,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
40,74,3,19,19,0,l,6.930944458988961,None,0,19,19,15,158.92367466702126,,158.9161423339974,158.92367466702126,159.90971700003138,159.90971700003138,159.91819600004237,166.8428957920405,l,6.930944458988961,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
79,131,2,20,20,0,l,4.25446299999021,None,0,20,20,12,166.85568095900817,,166.8489123340114,166.85568095900817,167.83513341704383,167.83513341704383,167.85234591702465,172.09354550001444,l,4.25446299999021,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
39,84,330,21,21,0,t,2.653940208023414,None,0,21,21,93,172.10735441703582,,172.1002233340405,172.10735441703582,173.0936491250177,173.0936491250177,173.1020132090198,175.7541947500431,t,2.653940208023414,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
49,60,89,22,22,0,t,6.363453291996848,None,0,22,22,4,175.76800329203252,,175.7604983340134,175.76800329203252,176.75262266700156,176.75262266700156,176.7592243340332,183.12143854203168,t,6.363453291996848,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
66,103,10,23,23,0,l,9.314232751028612,None,0,23,23,37,183.13530579203507,,183.12762095901417,183.13530579203507,184.1195972500136,184.1195972500136,184.12643112504156,193.4380284170038,l,9.314232751028612,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
27,50,21,24,24,0,t,8.59885883401148,None,0,24,24,2,193.45296620903537,,193.44479920901358,193.45296620903537,194.43607054202585,194.43607054202585,194.44300991704222,203.03826158400625,t,8.59885883401148,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
36,55,5,25,25,0,l,6.303241874964442,None,0,25,25,24,203.05308070901083,,203.045178417,203.05308070901083,204.03682575002313,204.03682575002313,204.04254720901372,210.3449098340352,l,6.303241874964442,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
